category,instruction,input,output
Alumni Information,Provide details about notable alumni from the college.,Can you tell me about some prominent alumni of Rajasthan Technical University?,"Prominent alumni of Rajasthan Technical University include Sandeep Jain, CEO of InfoEdge (India) Ltd., and Amit Agarwal, Chief Technology Officer at Amazon India. More information can be found on their [alumni network](http://www.rtu.ac.in/alumni)."
Campus Life,Explain the sports facilities available in a specific college.,"What kind of sports facilities are offered at Rajasthan Technical University, Kota?","Rajasthan Technical University, Kota offers a range of sports facilities, including a full-size football field, cricket ground, basketball and volleyball courts, and an indoor sports complex for badminton and table tennis. The campus encourages physical fitness and regularly hosts inter-college sports tournaments."
Apologies,Apologize for technical difficulties.,I think there was an error.,I'm sorry about the technical issue. Let me see if I can help you with something else.
Course Information,Provide information on PhD programs in engineering.,"What are the research areas available for PhD programs at Government Engineering College, Ajmer?","Government Engineering College, Ajmer offers PhD programs in research areas such as Artificial Intelligence, Robotics, Renewable Energy, Structural Engineering, and Wireless Communication."
Scholarships,Describe the available scholarships for students.,What is the eligibility requirement for the Rajasthan Engineering Merit-Cum-Means Scholarship?,"The Rajasthan Engineering Merit-Cum-Means Scholarship requires students to have excellent academic performance and demonstrate financial need. Eligibility includes having secured admission to a recognized engineering college, meeting the income criteria set by the scholarship authorities, and maintaining a minimum academic standard."
Open-Ended Questions,Encourage the user to discuss personal challenges.,"What's a challenge you've faced, and how did you overcome it?","Everyone faces challenges at some point. What'_s one that stands out for you, and how did you deal with it?"
Greetings and Farewells,Respond to greetings and farewells.,Goodbye,See you later!
General Questions,Answer basic questions.,What's up?,"Not much, just hanging out. What about you?"
Open-Ended Questions,Encourage the user to think about personal values.,"What values are most important to you, and why?",Values shape who we are and how we live our lives. What are the ones that matter most to you?
General Questions,Inquire about the user's movie preferences.,What's your all-time favorite movie?,Movies can be so memorable. What's your all-time favorite?
Placement Information,Explain placement opportunities available at a specific college.,"What are the placement prospects at College of Technology and Engineering, Udaipur?","The College of Technology and Engineering, Udaipur has an active placement cell that collaborates with various industries. Top recruiters include Infosys, Wipro, and Capgemini. The average package is around INR 5.2 LPA, with the highest offer being INR 12 LPA."
Course Information,Provide information on specializations in the B.Tech program.,"What are the specializations available in the B.Tech program at Government Engineering College, Jhalawar?","Government Engineering College, Jhalawar offers B.Tech programs in various specializations, including Computer Science Engineering, Mechanical Engineering, Civil Engineering, Electrical Engineering, Electronics and Communication Engineering, and Information Technology."
Previous Years' Cutoff,Give the cutoff scores for specific branch at the specific college for the previous year.,What was the previous year's cutoff for B.Tech Computer Science Engineering at Rajasthan Institute of Engineering & Technology?,"The cutoff score for B.Tech Computer Science Engineering at Rajasthan Institute of Engineering & Technology was 92 percentile last year. For updated cutoff details, refer to their [official website](http://www.rniet.edu.in)."
General Questions,Ask about the user's opinion on nature.,Do you enjoy spending time in nature?,Nature can be so refreshing. Do you enjoy being outdoors?
Placement Information,Explain placement opportunities available at a specific college.,"What is the placement scenario at Government Engineering College, Jhalawar?","Government Engineering College, Jhalawar offers good placement opportunities with companies like HCL, Infosys, and Tech Mahindra. The average salary package is INR 4 LPA, and the highest package offered recently was INR 9 LPA."
Scholarships,Describe the available scholarships for students.,What is the maximum amount offered by the Rajasthan Technical Education Scholarship?,"The Rajasthan Technical Education Scholarship offers a maximum amount of INR 50,000 per year. This amount is provided to cover tuition fees, books, and other educational expenses for eligible students based on merit and financial need."
Eligibility Criteria,Describe the minimum age requirement for admission.,Is there any age limit for B.Tech admissions in Rajasthan?,"For B.Tech admissions in Rajasthan, candidates must be at least 17 years old on or before December 31st of the admission year. However, there is no upper age limit for applying to B.Tech programs."
General Questions,Ask about the user's favorite music.,What kind of music do you enjoy listening to?,Music is a universal language. What type of music do you enjoy?
Seat Availability,Provide information on the number of seats available in B.Tech programs at the specific college.,How many seats are available in the B.Tech programs at Arya College of Engineering & IT?,"Arya College of Engineering & IT offers approximately 120 seats per B.Tech program, including Computer Science, Mechanical Engineering, Civil Engineering, and Electrical Engineering. For the most current seat availability, please visit their [official website](http://www.aryacollege.in)."
Eligibility Criteria,Explain the eligibility criteria for reserved category candidates.,What is the eligibility for SC/ST candidates for B.Tech programs in Rajasthan?,"For SC/ST candidates applying to B.Tech programs in Rajasthan, the eligibility criteria include passing Class 12th with Physics, Mathematics, and Chemistry/Biology/Computer Science, with at least 40% marks in aggregate. Additionally, they must appear in JEE Main or the relevant state entrance exam. Reserved category candidates also benefit from relaxed cutoffs and seat reservations."
Contact Details,"Provide general contact details for the University Grants Commission (UGC), India.",How can I contact the University Grants Commission (UGC) in India?,"For general inquiries about higher education in India, you can contact the University Grants Commission at: Phone: +91-11-23232131, Email: ugc@nic.in, Website: [www.ugc.ac.in](http://www.ugc.ac.in), Address: University Grants Commission, Bahadur Shah Zafar Marg, New Delhi, 110002."
Open-Ended Questions,Ask about future aspirations.,What do you hope to achieve in the next 5 years?,Looking ahead can be motivating. What are some of your aspirations for the next few years?
Seat Availability,Provide information on the availability of seats in B.Tech programs for reserved categories at engineering colleges.,How can I find out about seat availability for reserved categories in B.Tech programs at engineering colleges in Rajasthan?,"To find out about seat availability for reserved categories in B.Tech programs at engineering colleges in Rajasthan, visit the official website of the respective colleges or the [Rajasthan Technical Education Department's website](http://www.dte.rajasthan.gov.in). Reserved category seat details are usually updated on these platforms."
Course Information,Give details about lateral entry into engineering programs.,Is lateral entry available for diploma holders in engineering programs?,"Yes, diploma holders in relevant fields can gain lateral entry into the second year of B.Tech programs in Rajasthan through the LEEP (Lateral Entry in Engineering Program) after fulfilling the required eligibility criteria."
Contact Details,Provide general contact information for the Directorate of Technical Education in any state in India.,What is the contact information for the Directorate of Technical Education in any state in India?,"The Directorate of Technical Education for various states can be reached generally through their respective websites or common contact numbers. For example, for Maharashtra: Phone: +91-22-25734817, Email: dte@maharashtra.gov.in, Website: [www.dtemaharashtra.gov.in](http://www.dtemaharashtra.gov.in). Please check the specific state's Directorate of Technical Education website for exact details."
Greetings and Farewells,Respond to greetings and farewells.,Hi,Hello there! How can I help you today?
Eligibility Criteria,State the eligibility criteria for lateral entry admissions.,What are the eligibility criteria for lateral entry into B.Tech programs?,"For lateral entry into B.Tech programs in Rajasthan, candidates must have a diploma in engineering or technology with a minimum of 45% marks (40% for reserved categories). Candidates with a B.Sc. degree with Mathematics as a subject are also eligible. Lateral entry admissions allow candidates to join the second year of B.Tech programs directly."
General Questions,Ask about the user's favorite holiday destination.,Where is your favorite holiday destination?,Holidays are so special! Where is your favorite place to go?
Scholarships,Describe the available scholarships for students.,What are the criteria for the Dr. Ambedkar Post-Matric Scholarship for engineering students?,"The Dr. Ambedkar Post-Matric Scholarship is available for SC/ST students. The criteria include having a valid caste certificate, being enrolled in a recognized engineering program, and meeting the income limits set by the government. The scholarship provides financial assistance for tuition fees and maintenance expenses."
Course Information,Provide information on available electives in engineering courses.,What types of electives are offered in B.Tech programs in Rajasthan?,"Electives in B.Tech programs in Rajasthan vary based on specialization. Common electives include Artificial Intelligence, Cybersecurity, Data Analytics, Internet of Things (IoT), and Renewable Energy Systems."
Ranking Information,Provide information about the ranking of the specific college.,What is the ranking of Arya College of Engineering & IT in Jaipur?,"Arya College of Engineering & IT, Jaipur is consistently ranked among the top 150 private engineering colleges in India by various publications, including The Week and Times Engineering. The college is known for its state-of-the-art infrastructure and strong placement cell."
Campus Life,Discuss the transportation facilities available for students in a specific college.,"What transportation services are offered by Swami Keshvanand Institute of Technology, Jaipur?","Swami Keshvanand Institute of Technology, Jaipur provides bus services covering major parts of the city to ensure easy commutes for students and staff. The buses are equipped with GPS tracking and are available at scheduled times for both morning and evening routes. The college also offers parking facilities for students who commute using personal vehicles."
Previous Years' Cutoff,Provide the cutoff scores for specific branch at the specific college for the previous year.,"What was the cutoff score for B.Tech Computer Science Engineering at Malaviya National Institute of Technology, Jaipur last year?","The cutoff score for B.Tech Computer Science Engineering at Malaviya National Institute of Technology, Jaipur was 98.5 percentile in the previous year. For detailed cutoff information, refer to their [official website](http://www.mnit.ac.in)."
General Questions,Answer basic questions.,Can you help me?,"Sure, how can I help you today?"
Contact Details,Provide contact information for the academic affairs department.,"How can I contact the academic affairs department at Government Engineering College, Bikaner?","You can reach the academic affairs department at Government Engineering College, Bikaner at: Phone: +91-151-2250350, Email: academic@gecbikaner.ac.in, Address: Government Engineering College, KEM Road, Bikaner, Rajasthan, 334001."
Apologies,Apologize for causing any inconvenience.,Your response caused a bit of inconvenience.,I'm truly sorry if my response caused any inconvenience. I appreciate your patience.
Open-Ended Questions,Ask about the user's preferences on a topic.,"If you could live anywhere in the world, where would it be and why?",It's interesting to think about where we'd like to be. Where would you choose to live and why?
Seat Availability,Provide seat availability information for B.Tech programs at the specific college.,How many seats are available in the B.Tech programs at Indian Institute of Information Technology (IIIT) Kota?,"Indian Institute of Information Technology (IIIT) Kota has approximately 80 seats available for its B.Tech programs. For the latest seat details, visit their [official website](http://www.iiitkota.ac.in)."
Contact Details,Give contact information for the placement office of the specific college.,"What is the contact information for the placement office at Global Institute of Technology, Jaipur?","The placement office at Global Institute of Technology, Jaipur can be reached at: Phone: +91-141-2332853, Email: placement@gitjaipur.com, Address: Global Institute of Technology, Sikar Road, Jaipur, Rajasthan, 302013."
Open-Ended Questions,Respond to open-ended questions.,What's your favorite movie?,"I don't have personal preferences, but I've heard good things about somethings."
Greetings and Farewells,Respond to greetings and farewells.,Have a good one,Have a good one yourself!
Placement Information,Explain placement opportunities available at a specific college.,"What is the placement record at Rajasthan Institute of Engineering and Technology, Jaipur?","Rajasthan Institute of Engineering and Technology, Jaipur has a commendable placement record with companies such as Deloitte, IBM, and HCL. The average salary package is INR 6 LPA, with the highest package offered at INR 13 LPA."
Scholarships,Describe the available scholarships for engineering students.,What are the eligibility criteria for the Rajasthan Post-Matric Scholarship?,"The Rajasthan Post-Matric Scholarship is available for SC/ST/OBC students. Eligibility requires students to have a valid caste certificate, meet the income criteria set by the state government, and be enrolled in a recognized college or university. The scholarship covers tuition fees, maintenance allowance, and other related expenses."
Greetings and Farewells,Respond to greetings and farewells.,Good evening,Good evening! Is there anything I can assist you with?
Open-Ended Questions,Ask the user to share their opinions.,What is your opinion on the impact of technology on society?,Technology has changed our world in many ways. What's your take on its impact?
Previous Years' Cutoff,Provide general information on how to obtain previous years' cutoff data for various engineering branches.,How can I obtain previous years' cutoff data for various engineering branches?,"To obtain previous years' cutoff data for various engineering branches, you can visit the official websites of the engineering colleges, check admission brochures, or contact the colleges' admission offices directly. Additionally, some education portals and forums may also provide historical cutoff information."
Placement Information,Explain placement opportunities available at a specific college.,What are the placement statistics for Rajasthan Institute of Engineering and Technology?,"Rajasthan Institute of Engineering and Technology has a strong placement record with major recruiters such as Accenture, TCS, and Cognizant. The average package offered is INR 5 LPA, with the top package reaching INR 12 LPA."
Previous Years' Cutoff,Provide the previous year's cutoff scores for the specific branch in the specific college.,"What was the cutoff for B.Tech Information Technology at Amity University, Jaipur last year?","The cutoff score for B.Tech Information Technology at Amity University, Jaipur was 89 percentile in the previous year. For the latest information, visit their [official website](http://www.amity.edu/jaipur)."
Greetings and Farewells,Respond to greetings and farewells.,Good morning,Good morning to you!
Open-Ended Questions,Respond to open-ended questions.,What's your favorite food?,"I don't have personal preferences, but I've heard good things about some specific things."
Placement Information,Explain placement opportunities available at a specific college.,"What is the placement record of Government Engineering College, Bikaner?","Government Engineering College, Bikaner boasts a strong placement record with companies like IBM, Tech Mahindra, and Capgemini regularly hiring graduates. The average package offered is approximately INR 4.2 LPA, with some students receiving offers up to INR 10 LPA."
Alumni Information,Give information about the professional achievements of alumni from the specific college.,Who are some notable professionals who graduated from Rajasthan Institute of Engineering & Technology?,"Notable professionals from Rajasthan Institute of Engineering & Technology include Rajesh Jain, Senior Vice President at HCL Technologies, and Priya Desai, Director at Capgemini. Visit their [alumni network](http://www.rniet.edu.in) for more details."
Scholarships,Describe the available scholarships for students.,What is the deadline for applying for the Rajasthan Engineering Scholarship?,The application deadline for the Rajasthan Engineering Scholarship is typically in June each year. Students are advised to check the official Rajasthan government scholarship portal for the exact dates and any updates regarding the application process.
Alumni Information,Provide details about distinguished alumni of the specific college.,Can you tell me about some distinguished alumni of Jaipur Engineering College and Research Centre?,"Distinguished alumni of Jaipur Engineering College and Research Centre include Sanjay Sharma, CTO at Infosys, and Deepak Agarwal, Principal Architect at Oracle. For more information, visit their [alumni page](http://www.jecrc.ac.in/alumni)."
Course Information,Explain the medium of instruction in engineering programs.,What is the medium of instruction in B.Tech programs at government colleges in Rajasthan?,"The medium of instruction in B.Tech programs at government colleges in Rajasthan is primarily English. However, some institutions also provide supplementary teaching materials in Hindi for better understanding."
Greetings and Farewells,Respond to greetings and farewells.,Take care,You too! Have a great day.
Apologies,Express a general apology.,You seem to make mistakes often.,I'm sorry if it seems that way. I'm always here to learn and improve. Thank you for understanding!
Contact Details,"Provide contact details for the National Board of Accreditation (NBA), India.","What is the contact information for the National Board of Accreditation (NBA), India?","For queries related to accreditation of technical programs in India, contact the National Board of Accreditation at: Phone: +91-11-26172495, Email: nba@nbaind.org, Website: [www.nbaind.org](http://www.nbaind.org), Address: National Board of Accreditation, 4th Floor, ISBT Building, Kashmere Gate, Delhi, 110006."
Hostel Facilities,Provide information on hostel facilities.,"What types of rooms are available in the hostels at Government Engineering College, Bikaner?","Government Engineering College, Bikaner offers various types of rooms in their hostels, including single, double, and triple occupancy rooms. Each room is furnished with basic amenities like beds, desks, and chairs. Wi-Fi and common facilities are also available."
Scholarships,Describe the available scholarships for students.,Are there any scholarships available for polytechnic students in Rajasthan?,"Yes, there are scholarships available for polytechnic students in Rajasthan, including the Rajasthan Polytechnic Scholarship Scheme. Eligibility requires students to be enrolled in a recognized polytechnic institute, meet income criteria, and have satisfactory academic performance. The scholarship covers tuition and other educational expenses."
Greetings and Farewells,Respond to greetings and farewells.,"Hi, how are you?","Hello! I'm doing great, thank you. How about you?"
Hostel Facilities,Provide information on hostel facilities.,Are there any recreational facilities in the hostels at Rajasthan Institute of Engineering and Technology?,"Yes, Rajasthan Institute of Engineering and Technology offers recreational facilities in their hostels, including a common room with TV, indoor games like table tennis and chess, and a small library. These facilities are available for all hostel residents."
Alumni Information,Give a general overview of the alumni network and achievements for the specific college.,How can I learn about the alumni network and achievements for engineering colleges in Rajasthan?,"To learn about the alumni network and achievements for engineering colleges in Rajasthan, visit the official websites of the respective colleges where they often have dedicated alumni sections. These sections provide information about notable alumni, their career achievements, and ways to connect with them. For general inquiries, you can also contact the alumni associations directly."
Admission Process,Describe the admission process for management quota seats.,How can I apply for management quota seats in engineering colleges in Rajasthan?,"To apply for management quota seats in engineering colleges in Rajasthan, candidates need to directly contact the respective college. The college will provide details on seat availability, fees, and the application process. Candidates must meet the eligibility criteria and submit their application along with required documents directly to the college."
Fee Structure,Provide the fee structure for courses.,I'm interested in studying engineering abroad. What's the typical fee structure for undergraduate programs?,"Engineering programs at international universities can range widely in cost. In the US, for instance, tuition fees could be anywhere from USD 20,000 to USD 50,000 per year. In Europe, universities might have lower tuition fees but additional living expenses. Researching specific universities and considering scholarships is crucial when planning international engineering studies."
Apologies,Apologize for causing frustration.,You're making me frustrated.,"I'm really sorry to hear that. I'm here to help, so please let me know how I can make it better."
General Questions,Ask the user about their favorite season.,What's your favorite season and why?,"Each season has its charm. Which one do you like the most, and why?"
Seat Availability,Give details about the seat availability for B.Tech in specific branch/field at the specific college.,"What is the seat availability for B.Tech Computer Science at Amity University, Jaipur?","Amity University, Jaipur has 100 seats available for the B.Tech Computer Science program. For current seat availability, check their [official website](http://www.amity.edu/jaipur)."
General Questions,Ask about the user's travel experiences.,Have you traveled to any interesting places recently?,Traveling can be so enriching! Have you been to any interesting places lately?
Contact Details,"Provide general contact details for the Council of Architecture, India.","What is the contact information for the Council of Architecture, India?","For inquiries related to architecture courses and regulations in India, contact the Council of Architecture at: Phone: +91-11-26114796, Email: info@coa.gov.in, Website: [www.coa.gov.in](http://www.coa.gov.in), Address: Council of Architecture, 1st Floor, India Habitat Centre, Lodhi Road, New Delhi, 110003."
Open-Ended Questions,Encourage the user to share their ideas.,What do you think could be done to improve education?,Education is such an important topic. Do you have any ideas on how it could be better?
Alumni Information,List the achievements of alumni from the college.,What are some notable achievements of alumni from Jaipur Engineering College and Research Centre?,"Alumni from Jaipur Engineering College and Research Centre have achieved remarkable success in various fields, including leadership positions in major tech companies and recognition in their respective industries. Visit their [alumni network](http://www.jecrc.ac.in/alumni) for detailed information."
Alumni Information,Provide information about key alumni from the college.,"Can you list some key alumni from Manipal University, Jaipur?","Key alumni of Manipal University, Jaipur include Suresh Babu, Senior Engineer at Intel, and Meera Shah, Lead Architect at Microsoft. Additional details are available on their [alumni network](http://www.manipal.edu/jaipur)."
Campus Life,Describe the hostel facilities available in a specific college.,"What hostel facilities are available in Government Engineering College, Bikaner?","Government Engineering College, Bikaner provides separate hostel facilities for boys and girls, with well-furnished rooms, 24/7 security, and Wi-Fi connectivity. The hostel has a common dining area, recreational spaces, and medical services available on call. Students also have access to a laundry service and indoor sports facilities."
General Questions,Ask about preferences in food.,What's your favorite type of cuisine?,There are so many delicious cuisines out there! What's your favorite?
Scholarships,Describe the available scholarships for students.,What is the application process for the Rajasthan Engineering Excellence Scholarship?,"To apply for the Rajasthan Engineering Excellence Scholarship, students need to submit an online application form available on the scholarship portal. Required documents include academic records, proof of engineering college admission, and family income details. Applications are typically accepted from May to August each year."
General Questions,Ask about the user's childhood memories.,What's one of your fondest childhood memories?,Childhood is full of precious moments. What's one of your fondest memories?
Course Information,Provide course information about specific engineering courses.,Does Rajasthan Institute of Technology offer a B.Tech program in Electronics and Communication Engineering?,"No, Rajasthan Institute of Technology does not offer a B.Tech program in Electronics and Communication Engineering. They offer B.Tech programs in Computer Science, Mechanical Engineering, Civil Engineering, and Electrical Engineering."
Fee Structure,Provide the fee structure for engineering courses.,"What is the fee structure for B.Tech at Government Engineering College, Jodhpur?","The fee structure for B.Tech at Government Engineering College, Jodhpur is approximately INR 70,000 per year, including tuition fees, development fees, and other charges. Hostel fees are around INR 15,000 per year, excluding mess charges. Scholarships are available for eligible students."
General Questions,Ask about the user's work or studies.,What do you do for work or study?,I'd love to know more about your work or studies. What do you do?
Previous Years' Cutoff,Provide the cutoff scores for specific branch at specific college.,What was the cutoff for B.Tech Mechanical Engineering at Rajasthan Technical University last year?,"The cutoff score for B.Tech Mechanical Engineering at Rajasthan Technical University was 93 percentile in the previous year. For the most accurate information, check their [official website](http://www.rtu.ac.in)."
Hostel Facilities,Provide information on hostel facilities.,What is the process to apply for hostel accommodation at Rajasthan Technical University?,"To apply for hostel accommodation at Rajasthan Technical University, students need to fill out an online application form available on the university's website. The application should include proof of admission, identification documents, and a recent photograph. The hostel allotment is based on availability and merit."
Greetings and Farewells,Respond to greetings and farewells.,Hi,Hello there!
Course Information,Give details about short-term certification programs.,"Does Government Engineering College, Bikaner offer any short-term certification programs?","Yes, Government Engineering College, Bikaner offers short-term certification programs in Artificial Intelligence, Data Science, Cybersecurity, and Internet of Things (IoT). These programs are designed to enhance specific technical skills."
Apologies,Offer a sincere apology for a mistake.,I think you gave me the wrong information.,I'm really sorry about that! I'll make sure to provide the correct information next time.
Seat Availability,Provide details about seat availability for the B.Tech program at the specific college.,"What is the current seat availability for the B.Tech program at Global Institute of Technology, Jaipur?","Global Institute of Technology, Jaipur currently has around 100 seats available for the B.Tech programs. For updated information on seat availability, check their [official website](http://www.gitjaipur.com)."
Hostel Facilities,Provide information on hostel facilities.,"What are the room options available in the hostels at MBM Engineering College, Jodhpur?","MBM Engineering College, Jodhpur provides various room options in their hostels, including single, double, and triple sharing rooms. Each room is equipped with basic furniture, and students have access to common facilities like Wi-Fi, study areas, and mess services."
Fee Structure,Provide the fee structure for engineering courses.,How much does an M.Tech in Mechanical Engineering cost at a private university?,"The fees for M.Tech programs in private universities can vary significantly depending on the institution, location, and specialization. Generally, you can expect a range of INR 1.5 lakhs - 3 lakhs per semester for an M.Tech in Mechanical Engineering. It's advisable to contact the specific universities you're interested in for their detailed fee structure."
Placement Information,Explain placement opportunities available at a specific college.,"What are the placement opportunities at the College of Technology and Engineering, Udaipur?","The College of Technology and Engineering, Udaipur has a dedicated placement cell that helps students find job opportunities in various industries. Top recruiters include Infosys, TCS, L&T, and Wipro. The average package offered last year was INR 4.5 LPA, with the highest package reaching INR 12 LPA."
General Questions,Ask about the user's opinion on learning new skills.,Is there a new skill you would like to learn?,Learning new things is exciting! Is there a skill you're interested in picking up?
Campus Life,Provide information about campus life and facilities in the specific college.,What are the facilities available on the campus of Jaipur Engineering College and Research Centre?,"Jaipur Engineering College and Research Centre has a sprawling campus with modern facilities, including well-equipped labs, libraries, sports facilities, and hostels. The campus has Wi-Fi connectivity, a cafeteria, medical facilities, and transportation services."
Open-Ended Questions,Respond to open-ended questions.,What's your favorite hobby?,"As an AI language model, I don't have personal hobbies. However, I enjoy learning new things and interacting with users."
Greetings and Farewells,Respond to greetings and farewells.,Hey,Hey there! What's up?
Course Information,Provide information about summer internships related to courses.,Does Jaipur Engineering College and Research Centre (JECRC) provide any summer internships?,"Yes, Jaipur Engineering College and Research Centre (JECRC) offers summer internships for students in collaboration with leading industries. Internships are available in areas such as Software Development, Embedded Systems, Mechanical Design, and Civil Construction."
Ranking Information,Explain the ranking of the specific college.,"How is Global Institute of Technology, Jaipur ranked in engineering?","Global Institute of Technology, Jaipur is ranked among the top 200 private engineering colleges in India, as per the 2023 survey conducted by Outlook India. The institute has a strong focus on technical education, research, and student development, making it a competitive option for engineering aspirants."
Campus Life,Give an overview of the library facilities available in the campus of the specific college.,"What are the library facilities available at Malaviya National Institute of Technology (MNIT), Jaipur?","The library at Malaviya National Institute of Technology (MNIT), Jaipur, is well-stocked with a vast collection of books, journals, research papers, and e-resources. It offers quiet study areas, computer access, and digital databases for students and faculty. The library also provides online access to international academic journals and an e-learning center."
Hostel Facilities,Provide information on hostel facilities.,"What security measures are in place at the hostels of Government Engineering College, Udaipur?","Hostels at Government Engineering College, Udaipur are equipped with 24/7 security guards, CCTV surveillance, and controlled entry and exit points. There are also emergency contact numbers and safety protocols in place for students."
Hostel Facilities,Provide information on hostel facilities.,"Do the hostels at Government Engineering College, Jhalawar offer Wi-Fi?","Yes, the hostels at Government Engineering College, Jhalawar offer Wi-Fi connectivity for students. The Wi-Fi is available throughout the hostel premises, including common areas and individual rooms."
Ranking Information,Give an overview of ranking information of the specific college.,"Where does Government Engineering College, Bikaner rank in engineering?","Government Engineering College, Bikaner has been ranked among the top 200 engineering colleges in India according to the NIRF 2023 rankings. The college is well-regarded for its quality education, faculty, and infrastructure, with a focus on technical innovation and research."
Greetings and Farewells,Respond to greetings and farewells.,Goodbye,Goodbye! Have a nice day.
Questions and Answers,Answer basic questions.,How are you?,"I'm doing well, thank you!"
Apologies,Apologize for not being able to understand.,Why can't you understand me?,I'm sorry if I'm having trouble understanding. I'm always learning and will try to do better.
